timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1732725062929,2071,https://photo-sharing-api-bootcamp.do.dibimbing.id/api/v1/explore-post?size=10&page=1,200,OK,Thread Group 1-22,text,true,,5700,724,17,17,https://photo-sharing-api-bootcamp.do.dibimbing.id/api/v1/explore-post?size=10&page=1,2071,0,0
1732725062365,2634,LoginTest,200,"Number of samples in transaction : 2, number of failing samples : 0",Thread Group 1-22,,true,,6699,1277,17,17,null,2634,1,0
1732725063070,1936,https://photo-sharing-api-bootcamp.do.dibimbing.id/api/v1/explore-post?size=10&page=1,200,OK,Thread Group 1-30,text,true,,5197,724,16,16,https://photo-sharing-api-bootcamp.do.dibimbing.id/api/v1/explore-post?size=10&page=1,1936,0,0
1732725062504,2500,LoginTest,200,"Number of samples in transaction : 2, number of failing samples : 0",Thread Group 1-30,,true,,6196,1277,16,16,null,2500,3,0
1732725063533,1481,https://photo-sharing-api-bootcamp.do.dibimbing.id/api/v1/explore-post?size=10&page=1,200,OK,Thread Group 1-26,text,true,,6459,724,15,15,https://photo-sharing-api-bootcamp.do.dibimbing.id/api/v1/explore-post?size=10&page=1,1481,0,0
1732725062523,2490,LoginTest,200,"Number of samples in transaction : 2, number of failing samples : 0",Thread Group 1-26,,true,,7458,1277,15,15,null,2490,1,0
1732725063352,1666,https://photo-sharing-api-bootcamp.do.dibimbing.id/api/v1/explore-post?size=10&page=1,200,OK,Thread Group 1-14,text,true,,5475,724,14,14,https://photo-sharing-api-bootcamp.do.dibimbing.id/api/v1/explore-post?size=10&page=1,1666,0,0
1732725062512,2505,LoginTest,200,"Number of samples in transaction : 2, number of failing samples : 0",Thread Group 1-14,,true,,6474,1277,14,14,null,2504,2,0
1732725062945,2079,https://photo-sharing-api-bootcamp.do.dibimbing.id/api/v1/explore-post?size=10&page=1,200,OK,Thread Group 1-18,text,true,,6309,724,13,13,https://photo-sharing-api-bootcamp.do.dibimbing.id/api/v1/explore-post?size=10&page=1,2079,0,0
1732725062385,2637,LoginTest,200,"Number of samples in transaction : 2, number of failing samples : 0",Thread Group 1-18,,true,,7308,1277,13,13,null,2637,2,0
1732725063921,1108,https://photo-sharing-api-bootcamp.do.dibimbing.id/api/v1/explore-post?size=10&page=1,200,OK,Thread Group 1-29,text,true,,6698,724,12,12,https://photo-sharing-api-bootcamp.do.dibimbing.id/api/v1/explore-post?size=10&page=1,1108,0,0
1732725062790,2239,LoginTest,200,"Number of samples in transaction : 2, number of failing samples : 0",Thread Group 1-29,,true,,7697,1277,12,12,null,2239,1,0
